,7900488 / MIR30E,7923976 / C1orf132///MIR29B2,7971661 / MIR15A,7976832 / MIR323A,8008885 / MIR21,8045453 / MIR128-1,8084755 / MIR28,8087881 / MIRLET7G,8163107 / MIR32,8175248 / MIR92A2
75.GSM1316371.H, 5.86237, 4.17884, 5.93182, 3.31011, 8.79683, 4.71189, 3.45519, 7.52580, 6.67709, 3.16477
75.GSM1316372.H, 5.61056, 3.90262, 6.09685, 3.54984, 9.09161, 4.82916, 3.52235, 7.55883, 6.60037, 3.14140
75.GSM1316373.H, 6.47634, 4.42823, 6.45591, 3.78296, 9.46479, 4.56398, 3.64562, 7.69815, 6.91699, 3.05517
75.GSM1316374.H, 6.29086, 4.16566, 6.38480, 3.47636, 9.16028, 4.41579, 3.72838, 7.59828, 6.30052, 3.05037
75.GSM1316375.H, 5.42813, 3.83066, 6.30655, 3.82938, 8.31414, 4.49369, 3.53013, 7.36374, 6.18958, 2.99243
09.GSM1365685.H, 6.442769, 3.961483, 5.971465, 4.588829, 7.404985, 4.541463, 3.467477, 6.374435, 5.382332, 3.705881
09.GSM1365687.H, 6.967861, 4.310177, 7.295298, 4.613350, 9.878356, 4.701621, 3.533301, 7.120707, 5.707618, 3.740799
09.GSM1365689.H, 6.527870, 4.287266, 6.367976, 4.407264, 9.711858, 4.601629, 3.780668, 6.821332, 5.799300, 3.970341
09.GSM1365691.H, 6.559734, 4.325699, 5.971050, 4.929329, 8.173957, 5.018454, 3.794218, 7.309844, 6.246599, 3.976267
09.GSM1365693.H, 6.669489, 4.262290, 6.167776, 4.342856, 9.424709, 4.412141, 3.609055, 6.555504, 6.373764, 3.853605
09.GSM1365695.H, 6.238570, 4.180597, 5.652366, 4.542259, 9.159174, 4.707514, 3.573914, 5.676238, 5.971800, 3.883291
09.GSM1365697.H, 6.676838, 4.602140, 6.628131, 4.423813, 8.863459, 4.921735, 3.418771, 7.145192, 6.265423, 3.903866
09.GSM1365699.H, 6.571807, 4.424966, 5.702405, 4.691913, 7.933569, 4.571325, 3.564110, 6.636933, 5.776784, 3.969553
09.GSM1365701.H, 5.744833, 3.994710, 5.713322, 4.778600, 6.982273, 4.600719, 3.572309, 5.664453, 4.744559, 3.980550
09.GSM1365703.H, 6.749781, 3.983766, 5.532663, 4.281203, 9.957305, 4.411818, 3.746190, 7.329775, 6.728012, 3.716169
09.GSM1365705.H, 6.037694, 3.628750, 6.087952, 4.370378, 7.887951, 4.626190, 3.750719, 6.169267, 5.224387, 3.842990
09.GSM1365707.H, 6.939609, 4.658590, 5.771055, 3.993928, 9.234781, 4.232524, 3.808469, 6.816066, 6.289701, 3.716973
09.GSM1365709.H, 6.854122, 4.411123, 5.734820, 4.462035, 8.459489, 4.535486, 3.723942, 7.031906, 6.622347, 4.055258
09.GSM1365711.H, 5.984203, 4.224577, 5.072702, 4.352753, 8.368950, 4.457141, 3.490395, 7.025658, 5.722688, 3.802460
09.GSM1365713.H, 6.417215, 4.182168, 5.823843, 4.166007, 8.924293, 4.081839, 3.646550, 6.435840, 5.700543, 3.855644
09.GSM1365715.H, 7.017572, 4.072365, 6.130108, 4.285429, 9.594834, 4.606714, 3.539982, 6.973580, 6.779158, 3.749050
09.GSM1365717.H, 5.994415, 3.643042, 5.867851, 4.347386, 8.273159, 4.337958, 3.694312, 6.183143, 5.588103, 3.711024
09.GSM1365719.H, 7.010574, 4.023824, 6.466275, 4.647575, 9.324550, 4.444600, 3.447148, 6.320667, 6.257285, 3.962182
09.GSM1365721.H, 5.999881, 3.978070, 5.145928, 4.652899, 8.494368, 4.289435, 3.801488, 6.156656, 5.344768, 3.852056
09.GSM1365723.H, 7.099480, 4.457110, 5.974902, 4.188781, 8.591015, 4.329196, 3.639330, 7.056836, 6.734808, 3.764400
09.GSM1365725.H, 6.556321, 4.064643, 5.562077, 4.374486, 8.731893, 4.613245, 3.557068, 6.310161, 6.166489, 3.847447
09.GSM1365727.H, 6.725645, 4.288855, 5.551889, 4.183991, 9.448706, 4.332067, 3.452585, 6.897537, 6.248451, 3.799157
09.GSM1365729.H, 6.809893, 4.291487, 6.590345, 4.578778, 9.847474, 4.135765, 3.365152, 6.615169, 5.876586, 3.716274
09.GSM1365731.H, 6.240285, 3.959988, 5.988299, 4.777817, 8.517627, 4.990545, 3.744140, 7.093686, 5.819176, 3.866927
09.GSM1365733.H, 6.481748, 4.571213, 7.363220, 4.697102, 9.005869, 4.955614, 3.771744, 6.624153, 5.895115, 3.713809
09.GSM1365735.H, 6.927982, 4.284750, 7.198184, 4.721340, 9.392548, 4.726087, 3.644181, 6.907253, 5.673296, 3.624766
09.GSM1365737.H, 5.533305, 4.082068, 5.754305, 4.690661, 7.141406, 4.766718, 3.675041, 6.764850, 5.808696, 3.877359
09.GSM1365739.H, 6.582533, 4.419308, 6.946340, 4.719900, 9.328331, 4.768603, 3.786885, 6.933498, 6.299920, 3.824143
09.GSM1365741.H, 6.414458, 4.244714, 6.393680, 4.777442, 8.122932, 4.570682, 3.974053, 6.323492, 6.369406, 3.840079
09.GSM1365743.H, 6.650411, 4.161105, 6.297562, 5.073740, 8.608518, 4.984306, 3.757611, 6.519755, 6.315006, 3.648479
09.GSM1365745.H, 6.332995, 4.579106, 6.373685, 4.497485, 7.195216, 4.640245, 3.635685, 6.901210, 6.728267, 3.727131
09.GSM1365747.H, 6.229397, 4.179899, 5.975733, 5.024110, 7.868700, 4.791327, 3.789786, 6.032306, 5.446444, 3.854220
09.GSM1365749.H, 7.474329, 4.144955, 6.257965, 4.351879,10.100428, 4.942015, 4.180763, 6.664545, 6.877507, 3.790667
09.GSM1365751.H, 6.340367, 3.884979, 6.227487, 5.171396, 9.173113, 4.895266, 3.721124, 6.337488, 6.075071, 3.760446
09.GSM1365753.H, 7.132527, 4.525350, 5.901934, 4.647860, 9.361899, 4.736904, 4.105965, 6.761303, 6.877341, 3.784281
09.GSM1365755.H, 5.910589, 4.140144, 5.764385, 4.670114, 8.233247, 4.676647, 3.731883, 6.668018, 5.408304, 3.631458
09.GSM1365757.H, 6.042940, 4.602074, 5.943501, 4.710361,10.406205, 4.798281, 4.809361, 7.798298, 7.526895, 3.995349
09.GSM1365759.H, 6.519890, 3.915807, 5.439289, 4.735038, 9.065544, 4.671169, 3.922396, 7.347717, 6.824602, 3.610690
09.GSM1365761.H, 6.488439, 4.265046, 5.584661, 4.933388, 8.402574, 5.139590, 3.574122, 6.366680, 7.001259, 3.845080
09.GSM1365763.H, 6.317257, 4.023395, 6.202567, 4.593923, 9.790008, 4.904593, 3.965475, 6.224056, 5.885788, 3.550094
09.GSM1365765.H, 7.008702, 4.079424, 7.925996, 4.727840, 9.318158, 4.541640, 3.823363, 7.009109, 5.961069, 3.880885
09.GSM1365767.H, 7.356332, 4.838470, 6.346069, 4.861608, 9.159393, 4.942328, 4.163581, 7.591144, 7.128953, 3.710361
09.GSM1365769.H, 5.356128, 4.018137, 5.950277, 4.886482, 7.814328, 4.684819, 3.642391, 5.974341, 5.688655, 3.738697
09.GSM1365771.H, 7.117371, 4.611108, 6.183188, 4.434524, 9.284062, 4.635768, 3.614379, 7.503392, 6.733585, 3.762046
09.GSM1365773.H, 6.503287, 4.833488, 6.235035, 4.740875, 8.605314, 4.684977, 3.903650, 7.101956, 6.677914, 3.827711
09.GSM1365775.H, 6.603369, 4.157086, 6.431153, 4.952224,10.006010, 4.661405, 3.631274, 6.433151, 6.369938, 3.711226
46.GSM1530779.M, 8.20638, 5.36800, 7.00107, 3.29586,11.02050, 6.38639, 5.73368, 8.23180, 8.08592, 2.71551
46.GSM1530782.M, 8.01224, 5.75600, 7.38705, 3.36990,10.15270, 5.68459, 5.87445, 7.91728, 7.95645, 2.75757
46.GSM1530785.M, 7.99434, 5.35377, 7.19011, 3.46754,10.86510, 6.09927, 5.79153, 8.50686, 8.31935, 2.73058
46.GSM1530788.M, 8.00370, 6.31643, 7.65536, 3.01109,10.68230, 5.97764, 6.01746, 8.72318, 8.09211, 2.52391
46.GSM1530791.M, 8.21811, 5.72965, 6.81529, 2.96287,10.20000, 6.32023, 6.07485, 8.42195, 8.31911, 2.55686
46.GSM1530794.M, 7.97101, 5.77803, 7.16349, 3.06123, 9.65077, 6.08306, 5.94475, 8.94092, 8.46386, 2.62290
46.GSM1530797.M, 7.70242, 5.76776, 6.81216, 3.53929,11.62000, 5.85334, 5.38044, 8.52113, 7.55793, 2.64582
46.GSM1530800.M, 7.86888, 5.59956, 6.88829, 3.39940,11.38100, 5.93145, 5.80013, 8.81709, 8.18495, 2.67751
46.GSM1530803.M, 7.75789, 5.62028, 6.90221, 3.26250,11.37960, 6.23934, 5.86137, 8.78821, 8.17499, 2.54189
46.GSM1530806.M, 7.61961, 5.62133, 6.74891, 3.57150,10.49880, 6.05806, 6.06632, 8.35268, 8.38143, 2.55314
46.GSM1530809.M, 7.52517, 5.72419, 6.72308, 3.41827,10.49620, 6.02597, 5.36700, 8.05014, 8.04748, 2.57149
46.GSM1530812.M, 7.98074, 6.04804, 7.29024, 3.46841,10.62920, 5.91571, 5.46357, 8.30284, 8.04791, 2.71869
46.GSM1530815.M, 7.64926, 6.12919, 7.22293, 3.37102,11.44810, 5.52641, 5.63863, 8.59998, 7.96298, 2.55592
46.GSM1530818.M, 7.63527, 5.40531, 7.04933, 3.22742,10.58860, 6.14734, 5.80087, 8.46017, 8.09740, 2.55081
46.GSM1530821.M, 7.86366, 5.94768, 7.35145, 3.29494,10.97460, 5.87379, 5.34224, 7.87025, 7.96169, 2.72875
46.GSM1530824.M, 8.22145, 6.50903, 7.40976, 3.14176,11.32770, 5.68907, 5.87071, 7.93383, 7.66848, 2.67302
46.GSM1530827.M, 8.07207, 5.67777, 7.26512, 3.11848,12.34950, 5.54719, 5.52472, 7.51512, 6.60569, 2.73983
46.GSM1530830.M, 8.10491, 5.62770, 7.41167, 3.37279,10.85120, 5.56638, 5.48428, 7.91170, 7.79763, 2.46614
46.GSM1530833.M, 8.05879, 5.75305, 7.15633, 3.55176,10.78600, 5.66675, 5.57508, 7.79836, 7.39565, 2.72478
46.GSM1530836.M, 7.88445, 5.44035, 6.93888, 3.89116,10.17420, 6.23597, 5.51153, 8.18725, 7.95893, 2.60252
46.GSM1530839.M, 7.77527, 5.82186, 6.99220, 3.22557,10.53350, 6.15595, 5.48512, 7.78176, 8.28950, 2.64012
46.GSM1530842.M, 7.48429, 5.51333, 7.24249, 3.39827,11.40390, 5.78450, 5.55060, 8.15886, 7.92941, 2.76257
46.GSM1530845.M, 7.85348, 5.23031, 6.84860, 3.91770,10.07900, 6.09063, 5.04666, 8.20122, 7.91157, 2.75924
46.GSM1530848.M, 7.78445, 5.60856, 7.26426, 3.24489,10.77570, 5.77347, 5.42625, 8.21481, 7.54836, 2.63594
46.GSM1530851.M, 7.96300, 5.41185, 7.37206, 3.12156,10.87500, 6.25254, 5.84573, 8.09843, 8.69420, 2.75357
46.GSM1530854.M, 7.83234, 5.64012, 6.86149, 3.71021,11.10640, 5.70716, 5.76256, 8.08862, 7.38498, 2.58969
46.GSM1530857.M, 7.81180, 5.98094, 7.14261, 3.06043,10.04360, 6.02537, 5.62543, 8.08519, 7.98488, 2.46326
46.GSM1530860.M, 8.06657, 5.88296, 7.34444, 3.23208,10.55970, 5.64822, 5.63443, 7.91982, 7.57387, 2.62937
67.GSM1448335.M, 7.82918, 5.36073, 7.29662, 3.75212,11.38870, 5.99737, 5.47258, 8.38502, 7.51130, 2.88247
67.GSM1448338.M,7.91235,5.23996,6.41692,3.94564,9.50100,6.22293,5.30578,8.34597,8.11310,2.89226
67.GSM1448342.M, 8.06976, 5.68253, 7.33696, 3.35165,10.27540, 6.02478, 5.58549, 8.13776, 7.46686, 2.77396
67.GSM1448346.M, 8.10831, 5.21327, 6.75821, 3.10091,10.86130, 6.25374, 5.59790, 8.12058, 7.92791, 2.77425
67.GSM1448350.M, 7.76368, 5.36717, 6.86342, 3.47122,10.87970, 5.60987, 4.61098, 7.48030, 7.41380, 2.63572
67.GSM1448352.M,7.87907,5.61806,7.13643,3.31585,9.99947,5.58800,5.70394,7.91989,7.85266,2.84807
67.GSM1448356.M, 7.85415, 5.25154, 7.05514, 3.37486,10.69790, 5.97948, 5.69413, 8.40807, 8.15683, 2.63994
67.GSM1448360.M, 7.92616, 6.17183, 7.49419, 2.97237,10.52690, 5.98027, 5.84191, 8.61401, 7.95220, 2.62950
67.GSM1448364.M, 8.09641, 5.65911, 6.67050, 3.01716,10.04690, 6.05917, 5.92753, 8.34726, 8.13085, 2.64938
67.GSM1448368.M, 7.54802, 5.81736, 7.46546, 3.52026, 9.57386, 5.65650, 5.85731, 7.71599, 8.04916, 2.81252
67.GSM1448371.M, 7.87808, 5.62707, 7.03766, 2.99174, 9.50006, 6.00293, 5.81709, 8.86249, 8.32688, 2.71500
67.GSM1448375.M, 7.14482, 5.25142, 6.67119, 3.44111,11.04040, 5.87822, 5.38497, 8.20111, 7.42848, 2.71757
67.GSM1448378.M, 7.93350, 5.66574, 6.97982, 3.07884,11.33420, 6.15677, 5.51453, 7.99752, 7.55784, 2.76047
67.GSM1448380.M, 7.47559, 5.46990, 7.41596, 3.25106,10.39790, 5.93423, 5.38081, 7.83313, 7.89616, 2.64492
67.GSM1448383.M, 7.86502, 5.74245, 7.05140, 3.17101,11.41390, 5.89074, 5.26844, 8.20085, 7.81911, 2.69245
67.GSM1448386.M, 7.33805, 5.73514, 7.01928, 3.11869,10.78180, 5.59113, 5.17610, 7.77852, 7.08206, 2.82211
67.GSM1448389.M, 7.40103, 5.30034, 6.41829, 3.49335,11.51960, 5.99270, 4.98994, 7.82977, 7.08342, 2.66162
67.GSM1448391.M, 7.54399, 5.61377, 6.72635, 3.35604,11.47740, 5.76401, 5.26005, 8.44517, 7.43215, 2.75296
67.GSM1448395.M, 7.84860, 5.96300, 7.02679, 3.27726,11.44060, 5.44404, 5.90312, 8.31272, 7.54021, 2.74173
67.GSM1448398.M, 7.58029, 5.93622, 7.50247, 3.32935,11.01370, 5.67208, 5.58999, 8.38028, 8.11120, 2.78393
67.GSM1448401.M, 7.78181, 5.46529, 6.71454, 3.33974,11.22390, 5.75257, 5.64466, 8.71587, 7.99990, 2.65405
67.GSM1448405.M, 7.67664, 5.43875, 6.69546, 3.21726,11.23110, 6.13035, 5.69083, 8.67499, 8.03464, 2.60063
67.GSM1448409.M, 7.55533, 5.41047, 6.64528, 3.51506,10.32150, 5.92823, 5.92461, 8.22142, 8.24699, 2.57489
67.GSM1448413.M, 7.41749, 5.54021, 6.47239, 3.34083,10.31890, 5.89997, 5.23800, 7.95658, 7.93826, 2.58859
67.GSM1448417.M, 7.92399, 5.85963, 7.18199, 3.39042,10.47830, 5.78879, 5.23429, 8.19352, 7.87368, 2.75502
67.GSM1448421.M, 7.55188, 5.99938, 7.01438, 3.21372,11.30620, 5.37016, 5.42990, 8.44343, 7.78996, 2.60683
67.GSM1448425.M, 7.52581, 5.37097, 6.88382, 3.17917,10.44880, 6.13328, 5.67883, 8.33762, 7.92191, 2.59118
67.GSM1448429.M, 7.79188, 5.80295, 7.19813, 3.21488,10.83870, 5.75719, 5.26940, 7.81290, 7.82229, 2.82740
67.GSM1448433.M, 8.07516, 6.34807, 7.20844, 3.11688,11.17340, 5.56454, 5.69431, 7.80957, 7.55679, 2.71436
67.GSM1448437.M, 7.97726, 6.03695, 7.43923, 3.21449,11.61280, 5.34221, 5.42199, 7.87285, 7.19933, 2.67866
67.GSM1448439.M, 7.92575, 5.80603, 7.44383, 3.31155,11.02810, 5.99193, 5.62558, 8.00990, 8.33662, 2.68609
67.GSM1448442.M, 7.95307, 5.62171, 7.17153, 2.98975,12.21030, 5.45148, 5.39246, 7.45774, 6.49099, 2.77061
67.GSM1448446.M, 8.00282, 5.49644, 7.21134, 3.34130,10.70370, 5.52039, 5.31451, 7.86101, 7.65744, 2.56062
67.GSM1448450.M, 7.40862, 5.74536, 7.00996, 3.14271,10.41470, 5.59018, 5.05646, 7.95258, 7.67004, 2.92263
67.GSM1448452.M, 7.83126, 5.94557, 7.19340, 3.34889,10.64790, 5.82285, 5.73315, 8.51219, 8.18947, 2.69211
