,7900488 / MIR30E,7923976 / C1orf132///MIR29B2,7971661 / MIR15A,7976832 / MIR323A,8008885 / MIR21,8045453 / MIR128-1,8084755 / MIR28,8087881 / MIRLET7G,8163107 / MIR32,8175248 / MIR92A2
46.GSM1530765.C,7.7012,5.80495,6.99117,3.43373,10.7577,5.79504,5.89315,8.33835,7.81671,2.64103
46.GSM1530766.C,7.64338,5.96508,7.39928,3.77181,10.5706,5.97595,6.22704,8.16327,8.22431,2.79486
46.GSM1530767.C,7.10691,5.34372,6.93474,3.42844,10.9353,5.98273,5.48658,8.27071,8.21972,2.64409
46.GSM1530768.C,7.35243,5.97712,7.19322,3.47466,10.6552,6.03998,5.77248,8.68787,8.40697,2.60437
46.GSM1530769.C,7.93787,5.98532,7.37721,3.27539,10.5472,5.9386,6.49295,8.33661,8.3011,2.48337
46.GSM1530770.C,7.69364,5.87423,7.3459,3.39484,10.4885,5.79974,5.9724,8.14044,8.17639,2.59515
46.GSM1530771.C,7.15369,5.88788,7.17702,3.03207,10.4273,5.84447,5.5017,8.3649,8.95792,3.07971
46.GSM1530772.C,7.63145,6.15347,7.23346,3.21156,10.2586,5.93882,5.79547,8.52271,8.63521,2.57863
46.GSM1530773.C,7.97024,6.29732,6.90867,3.33241,10.9583,6.30887,6.21752,9.25478,8.64433,3.11136
46.GSM1530774.C,7.60181,6.09614,7.21139,3.53577,10.7171,6.20164,6.1208,8.54823,8.35258,2.92255
46.GSM1530775.C,7.72117,6.12346,7.1262,3.13066,10.1185,6.26038,5.91022,8.54237,8.29875,2.83815
46.GSM1530776.C,8.04943,6.0633,8.29885,3.17541,9.82012,6.28584,5.32722,7.87359,7.97244,2.63581
46.GSM1530777.C,7.75932,5.79229,8.31129,3.61451,9.89187,6.25457,5.41687,7.81091,8.21264,2.99963
46.GSM1530778.C,7.84493,6.04613,7.86127,3.71,10.1602,6.17673,5.89315,7.99067,8.05934,3.27165
67.GSM1620759.C,7.56257,5.68599,6.85715,3.38293,10.6017,5.73846,5.69927,8.2786,7.65739,2.68308
67.GSM1620760.C,7.43438,5.81493,7.16556,3.62205,10.3952,5.85913,5.99751,8.07431,8.08172,2.72289
67.GSM1620761.C,7.78518,6.30509,7.07605,3.26239,10.9265,5.67162,6.32922,8.35132,7.63228,2.77298
